Category: All categories

Month,gym: (Worldwide)
2004-01,52
2004-02,43
2004-03,41
2004-04,38
2004-05,39
2004-06,39
2004-07,40
2004-08,46
2004-09,44
2004-10,39
2004-11,39
2004-12,39
2005-01,58
2005-02,46
2005-03,43
2005-04,42
2005-05,42
2005-06,42
2005-07,40
2005-08,43
2005-09,45
2005-10,43
2005-11,43
2005-12,42
2006-01,56
2006-02,48
2006-03,48
2006-04,43
2006-05,42
2006-06,41
2006-07,46
2006-08,51
2006-09,52
2006-10,48
2006-11,44
2006-12,44
2007-01,60
2007-02,55
2007-03,54
2007-04,54
2007-05,53
2007-06,51
2007-07,54
2007-08,52
2007-09,54
2007-10,48
2007-11,45
2007-12,44
2008-01,60
2008-02,51
2008-03,49
2008-04,47
2008-05,47
2008-06,46
2008-07,48
2008-08,50
2008-09,54
2008-10,47
2008-11,47
2008-12,46
2009-01,60
2009-02,50
2009-03,51
2009-04,47
2009-05,49
2009-06,46
2009-07,43
2009-08,51
2009-09,51
2009-10,46
2009-11,48
2009-12,44
2010-01,60
2010-02,53
2010-03,51
2010-04,51
2010-05,50
2010-06,49
2010-07,48
2010-08,53
2010-09,56
2010-10,49
2010-11,47
2010-12,49
2011-01,65
2011-02,58
2011-03,57
2011-04,52
2011-05,53
2011-06,54
2011-07,53
2011-08,55
2011-09,59
2011-10,55
2011-11,56
2011-12,53
2012-01,71
2012-02,62
2012-03,58
2012-04,57
2012-05,58
2012-06,60
2012-07,61
2012-08,64
2012-09,65
2012-10,58
2012-11,55
2012-12,55
2013-01,70
2013-02,63
2013-03,66
2013-04,61
2013-05,60
2013-06,63
2013-07,65
2013-08,68
2013-09,67
2013-10,64
2013-11,61
2013-12,63
2014-01,79
2014-02,75
2014-03,68
2014-04,68
2014-05,69
2014-06,65
2014-07,66
2014-08,69
2014-09,71
2014-10,63
2014-11,63
2014-12,64
2015-01,83
2015-02,73
2015-03,74
2015-04,71
2015-05,69
2015-06,71
2015-07,71
2015-08,74
2015-09,75
2015-10,70
2015-11,67
2015-12,68
2016-01,89
2016-02,76
2016-03,76
2016-04,75
2016-05,78
2016-06,77
2016-07,97
2016-08,89
2016-09,83
2016-10,70
2016-11,74
2016-12,76
2017-01,96
2017-02,87
2017-03,85
2017-04,83
2017-05,80
2017-06,78
2017-07,85
2017-08,86
2017-09,86
2017-10,79
2017-11,76
2017-12,77
2018-01,98
2018-02,90
2018-03,85
2018-04,85
2018-05,79
2018-06,82
2018-07,83
2018-08,83
2018-09,83
2018-10,76
2018-11,82
2018-12,79
2019-01,93
2019-02,89
2019-03,91
2019-04,77
2019-05,78
2019-06,87
2019-07,86
2019-08,88
2019-09,89
2019-10,79
2019-11,86
2019-12,84
2020-01,100
2020-02,93
2020-03,83
2020-04,60
2020-05,64
2020-06,71
2020-07,74
2020-08,78
2020-09,80
2020-10,71
2020-11,66
2020-12,68
2021-01,68
2021-02,67
2021-03,72
2021-04,73
2021-05,72
2021-06,76
2021-07,79
2021-08,79
2021-09,77
2021-10,77
2021-11,77
2021-12,73
2022-01,83
2022-02,87
2022-03,81
2022-04,79
2022-05,80
2022-06,82
2022-07,87
2022-08,86
2022-09,85
2022-10,78
2022-11,83
2022-12,82
2023-01,100
2023-02,92
2023-03,91
2023-04,86
2023-05,84
2023-06,87
2023-07,90
2023-08,91
2023-09,90
2023-10,80
2023-11,84
2023-12,85
2024-01,100
2024-02,92
2024-03,95
2024-04,90
2024-05,89
2024-06,93
2024-07,91
2024-08,97
